Linha;"Santo André
Partida";"Somente desembarque
Terminal Leste";"São Bernardo
Chegada";Partida;"Somente desembarque
Terminal Leste";"Santo André
Chegada"
1;06:45:00;---;07:20:00;07:25:00;---;07:56:00
2;06:55:00;---;07:30:00;07:32:00;---;08:03:00
3;07:05:00;---;07:40:00;07:45:00;---;08:16:00
4;07:10:00;---;07:45:00;07:50:00;---;08:20:00
5;07:15:00;---;07:50:00;07:55:00;---;08:25:00
6;07:20:00;---;07:55:00;08:00:00;---;08:30:00
1;08:01:00;---;08:36:00;08:41:00;---;09:11:00
2;08:21:00;---;08:51:00;08:56:00;---;09:26:00
3;08:31:00;---;09:01:00;09:06:00;---;09:36:00
4;08:46:00;---;09:16:00;09:21:00;---;09:51:00
5;09:01:00;---;09:31:00;09:36:00;---;10:04:00
6;09:14:00;---;09:44:00;10:04:00;---;10:32:00
1;09:31:00;---;10:01:00;10:16:00;---;10:44:00
2;09:46:00;---;10:16:00;10:30:00;---;10:58:00
3;10:04:00;---;10:33:00;10:48:00;---;11:16:00
4;10:31:00;---;11:00:00;11:15:00;---;11:43:00
5;10:45:00;---;11:14:00;11:30:00;---;11:58:00
2;11:08:00;---;11:37:00;11:42:00;---;12:08:00
3;11:21:00;---;11:50:00;12:04:00;---;12:30:00
6;11:40:00;---;12:09:00;12:14:00;---;12:40:00
1;11:50:00;---;12:19:00;12:22:00;---;12:48:00
4;12:00:00;---;12:29:00;12:32:00;---;12:58:00
5;12:05:00;---;12:34:00;12:39:00;---;13:05:00
2;12:10:00;---;12:38:00;12:43:00;---;13:09:00
3;12:32:00;---;13:00:00;13:05:00;---;13:31:00
6;12:45:00;---;13:14:00;13:19:00;---;13:45:00
1;12:58:00;---;13:28:00;13:33:00;---;14:01:00
2;13:21:00;---;13:50:00;13:55:00;---;14:21:00
3;13:46:00;---;14:15:00;14:20:00;---;14:46:00
4;14:00:00;---;14:29:00;14:34:00;---;15:00:00
5;14:25:00;---;14:54:00;14:59:00;---;15:29:00
6;14:45:00;---;15:14:00;15:19:00;---;15:49:00
1;15:10:00;---;15:40:00;15:45:00;---;16:24:00
2;15:25:00;---;15:57:00;16:02:00;---;16:44:00
3;15:46:00;---;16:25:00;16:28:00;---;17:23:00
4;16:00:00;---;16:41:00;16:45:00;---;17:40:00
5;16:15:00;---;16:56:00;17:00:00;---;17:55:00
6;16:25:00;---;17:06:00;17:10:00;---;18:05:00
1;16:39:00;---;17:20:00;17:22:00;---;18:17:00
2;17:00:00;---;17:41:00;17:43:00;---;18:38:00
3;17:25:00;---;18:06:00;18:09:00;---;19:04:00
4;17:45:00;---;18:26:00;18:29:00;---;19:16:00
5;18:05:00;---;18:46:00;18:50:00;---;19:35:00
6;18:10:00;---;18:51:00;18:55:00;---;19:40:00
1;18:19:00;---;19:00:00;19:03:00;---;19:51:00
2;18:40:00;---;19:21:00;19:24:00;---;20:09:00
3;19:06:00;---;19:47:00;19:50:00;20:24:00;20:30:00
4;19:18:00;---;19:54:00;19:58:00;20:32:00;20:38:00
5;19:38:00;---;20:13:00;20:18:00;20:48:00;20:54:00
6;19:45:00;---;20:20:00;---;---;---
1;20:00:00;20:06:00;20:38:00;20:42:00;21:05:00;21:11:00
2;20:13:00;20:19:00;20:51:00;20:55:00;21:18:00;21:24:00
3;20:38:00;20:44:00;21:16:00;21:20:00;21:43:00;21:49:00
4;21:00:00;21:06:00;21:30:00;21:33:00;21:56:00;22:02:00
5;21:15:00;21:21:00;21:45:00;21:50:00;22:13:00;22:19:00
1;21:26:00;21:32:00;21:56:00;22:03:00;22:26:00;22:32:00
2;21:41:00;21:47:00;22:10:00;22:15:00;22:38:00;22:44:00
3;22:07:00;22:13:00;22:36:00;22:41:00;23:04:00;23:10:00
4;22:15:00;22:21:00;22:44:00;22:47:00;23:10:00;23:16:00
5;22:25:00;22:31:00;22:54:00;23:02:00;23:24:00;23:31:00
1;22:37:00;22:43:00;23:06:00;23:10:00;23:32:00;23:38:00
2;22:47:00;22:53:00;23:14:00;23:17:00;23:39:00;23:45:00
3;23:12:00;23:18:00;23:39:00;---;---;---
4;23:19:00;23:25:00;23:45:00;---;---;---
5;23:33:00;23:39:00;---;---;---;---
1;23:39:00;23:45:00;---;---;---;---
